アンスクーリング,Unschooling
カルチナーイア,Calcinaia
ショルツェ,Sciolze
フィル,Phil
リズート,Rizzuto
ツェルバ,Zerba
セストリエーレ,Sestriere
イーゴリ,Igor
グラーバリ,Grabar
ツィアーノ,Ziano
セッティモ,Settimo
ロッターロ,Rottaro
カザーレ,Casale
マリッティモ,Marittimo
ミノーグ,Minogue
カシャーナ,Casciana
マダニ,Tick
カーシナ,Cascina
トリネーゼ,Torinese
デイヴィッド,David
ライマー,Reimer
カステッリーナ,Castellina
マリッティマ,Marittima
サラゴサ,Zaragoza
ヴィットーネ,Vittone
ジョン,John
リネカー,Lineker
サンドロ,Sandro
カラブロ,Calabro
スパローネ,Sparone
キャンニ,Chianni
ジョセフ,Joseph
レシニェフスキー,Lesniewski
クレスピーナ,Crespina
ミシェル,Michel
ブロー,Brault
プレミアシップ,Premiership
アルトヴィグ,Hartwig
ドランブール,Derenbourg
レアル,Real
ファウーリア,Fauglia
グアルディスタッロ,Guardistallo
ストランビネッロ,Strambinello
ナミビア,Namibia
レートー,Leto
ストランビーノ,Strambino
ラヤーティコ,Lajatico
フォティーノ,Photino
ウエルベック,Houellebecq
カンピネンセ,Campinense
クルーベ,Clube
ハードル,Hurdle
ポートランド,Portland
ティンバーズ,Timbers
ロレンツァーナ,Lorenzana
ナショナル,National
ヘルス,Health
プッシュバック,Pushback
タヴァニャスコ,Tavagnasco
ジュリメトリックス,Jurimetrics
モンテスクダーイオ,Montescudaio
セバスティアン,Sebastián
カイルル,Khairul
アムリ,Amri
トッラッツァ,Torrazza
ピエモンテ,Piemonte
モンテヴェルディ,Monteverdi
カート,Kurt
ソシエダ,Sociedad
ララ,Lara
テイシェイラ,Teixeira
ベニー,Benny
サップ,Sapp
オウトラス,Outras
パラーヴラス,Palavras
オーロン,Aurone
オルチャーノ,Orciano
ピザーノ,Pisano
カムレール,Camrail
マリナ,Marina
サナヤ,Sanaya
パラーイア,Palaia
コンスタンタン,Constantin
ペクール,Pecqueur
ペッチョリ,Peccioli
ペッリチェ,Pellice
ベアータ,Beata
パップ,Papp
バリャドリード,Valladolid
フランツェ,France
プレシェーレン,Prešeren
ポマランチェ,Pomarance
セサール,César
ソト,Soto
リュドミーラ,Ludmila
カナディアン,Canadian
ブラス,Brass
チャンピオンシップ,Championship
ルーラ,Lula
ペナ,Pena
ポンサッコ,Ponsacco
トラーナ,Trana
ガードン,Gurdon
チェンストホヴァ,Częstochowa
ポンテデーラ,Pontedera
ラウル,Raúl
ランディーニ,Landini
リパルベッラ,Riparbella
トラウゼッラ,Trausella
ハッカースペース,Hackerspace
アウストラロピテクス,Australopithecus
トラヴェルセッラ,Traversella
タイヤ,Tire
フェオホルビダーゼ,Pheophorbidase
ミニアート,Miniato
シーベルト,Sievert
ルイス,Luis
ムリエル,Muriel
トロファレッロ,Trofarello
サンタ,Santa
ルーチェ,Luce
パヴェル,Pavel
ブガロ,Bugalo
ウッセアウズ,Usseaux
テッリッチョーラ,Terricciola
カナッペ,Canapé
ホセ,José
マルティ,Martí
ヴェッキアーノ,Vecchiano
キャンベラ,Canberra
スタジアム,Stadium
キャンサー,Cancer
バッツ,Bats
ヘキサメチルジシラン,Hexamethyldisilane
ウッセーリオ,Usseglio
ヘクター,Hector
ロンバード,Lombard
ヴィコピザーノ,Vicopisano
マイク,Mike
ピアース,Pierce
ニジェール,Niger
ハル,Halle
ベリー,Berry
キャンドルボックス,Candlebox
ヴォルテッラ,Volterra
カンドンベ,Candombe
キャンドルスティック,Candlestick
パーク,Park
キャンディ,Candy
キャンディード,Candido
ヴァイエ,Vaie
カンガセイロ,Cangaço
アール,Earl
スウェットシャツ,Sweatshirt
ヴァルジョーイエ,Valgioie
ミュセドーラス,Mucedorus
オドアケル,Odoacer
キャナリー,Cannery
ロウ,Row
ハミルトン,Hamilton
ジェニファー,Jennifer
コネリー,Connelly
ハンドメイド,HandMade
フィルムス,Films
ヴァッロ,Vallo
キヤノン,Canon
キャット,Cat
エレキテル,Elekiter
ベシャンコーヴィチ,Beshankovichy
ヴァルペルガ,Valperga
ニュースゲーム,Newsgame
ヴァルプラート,Valprato
ソアーナ,Soana
ライアン,Ryan
ギャリー,Garry
ミゲル,Miguel
コマンジュ,Comminges
ヴァリゼッラ,Varisella
カンティクム,Canticle
カントン,Canton
チャージ,Charge
アル,Aru
ヴァウダ,Vauda
ヴェナリーア,Venaria
レアーレ,Reale
ナイジェリア,Nigeria
アックアフレッダ,Acquafredda
アドロ,Adro
ハロルド,Harold
キトソン,Kitson
スミスソン,Smithson
ハリー,Harry
ガーディノ,Guardino
アニョージネ,Agnosine
アルフィアネッロ,Alfianello
ケープ,Cape
アンフォ,Anfo
ヴェナーウス,Venaus
ペイジ,Paige
ヴァンザント,VanZant
アンゴロ,Angolo
アレクシン,Aleksin
ヴェロレンゴ,Verolengo
アルトーニェ,Artogne
アッツァーノ,Azzano
メッラ,Mella
ヴェッルーア,Verrua
サヴォーイア,Savoia
ホーク,Hawk
ネルソン,Nelson
ジャスティン,Justin
ホリデー,Holiday
ケープサイズ,Capesize
バニョーロ,Bagnolo
ヘッドリィ,Headley
グランジ,Grange
パウロ,Paulo
フォンセカ,Fonseca
バゴリーノ,Bagolino
ヴェスティニェ,Vestignè
ヴィアルフレ,Vialfrè
カポナータ,Caponata
アリメチエフスク,Almetyevsk
ヴィーコ,Vico
アムールスク,Amursk
ヴィドラッコ,Vidracco
バッサーノ,Bassano
ブレシャーノ,Bresciano
ベディッツォーレ,Bedizzole
キャプテン,Captain
ビヨンド,Beyond
ヴィゴーネ,Vigone
モルガン,Morgan
ヘルビリー,Hellbilly
デラックス,Deluxe
ベルリンゴ,Berlingo
キャプター,Captor
ヴィッラフランカ,Villafranca
ベルツォ,Berzo
デーモ,Demo
ヴィッラノーヴァ,Villanova
カラコル,Caracol
インフェリオーレ,Inferiore
ビエンノ,Bienno
キャラメルダンセン,Caramelldansen
アルーナジョージ,AlunaGeorge
プロブコール,Probucol
ヴィッラール,Villar
ドーラ,Dora
クアルケル,Qualquer
コイザ,Coisa
フォッキアルド,Focchiardo
ビオーネ,Bione
アンガルスク,Angarsk
ボルゴサトッロ,Borgosatollo
マコーレー,Macaulay
カルキン,Culkin
ペローザ,Perosa
ボッティチーノ,Botticino
ポストカードウェア,Postcardware
ヴィッラルバッセ,Villarbasse
ジャーメイン,Germaine
グリア,Greer
キャリー,Carey
ベル,Bell
ノール,Nolé
マリン,Marin
リュック,Luc
モンタニエ,Montagnier
ヴィッラレッジャ,Villareggia
ダーウィン,Darwin
スコット,Scott
リッチモンド,Richmond
ボーヴェニョ,Bovegno
アンドレアポリ,Andreapol
カーギル,Cargill
カーゴイタリア,Cargoitalia
カーヘンジ,Carhenge
ヴィッラステッローネ,Villastellone
カリビアン,Caribbean
プリンセス,Princess
ヒブリア,Hibria
リチャード,Richard
ヘイマン,Hayman
ボヴェッツォ,Bovezzo
ヴィノーヴォ,Vinovo
ヴィルレ,Virle
ブランディーコ,Brandico
カリスブルック,Carisbrook
ブラオーネ,Braone
ブレーノ,Breno
ホーウス,Rolls
グレイシー,Gracie
ロン,Ron
タクシ,Taksi
ヴィスケ,Vische
グレン,Glenn
ミラー,Miller
アニワ,Aniva
チンキム,Zhenjin
アパチートゥイ,Apatity
マーク,Mark
プライアー,Prior
ヴィストローリオ,Vistrorio
ジム,Jim
アンダートン,Anderton
ガウン,Gown
アプレレフカ,Aprelevka
フリッツ,Fritz
ガイェウフスキー,Gajewski
アクアプラス,Aquaplus
ヒストリア,Historia
ヒシャム,Hisham
アッバース,Abbas
カイーノ,Caino
スティーブ,Steve
バラカット,Barakatt
ヴィウ,Viù
ウガンダ,Uganda
セルジュ,Serge
ランダウンプレイ,Rundown
カール,Carl
ベッツ,Betz
カルチナート,Calcinato
ヴォルピャーノ,Volpiano
ジークフリート,Siegfried
バルト,Barth
メンドーサ,Mendoza
ライン,Line
ロヴァニエミ,Rovaniemi
カポトート,Capotorto
ハフナルフィヨルズゥル,Hafnarfjörður
アルコルコン,Alcorcón
カルヴィザーノ,Calvisano
ジョーダン,Jordan
シェーファー,Schafer
ヴォルヴェーラ,Volvera
ウルフルズ,Ulfuls
クロフォード,Crawford
レオ,Leo
シロタ,Sirota
カスパー,Kaspar
カパローニ,Capparoni
エクアート,Ecuato
ギニアーナ,Guineana
エディ,Eddy
メルクス,Merckx
カポヴァッレ,Capovalle
ベルナルド,Bernardo
エレクトーン,Electone
チャーリー,Charlie
パーカー,Parker
ラヴィ,Ravi
シャンカル,Shankar
タシアナ,Taciana
リマ,Lima
フォンタナ,Fontana
ウィルソン,Wilson
フォアマン,Foreman
ドナルド,Donald
サザーランド,Sutherland
マーヴィン,Mervyn
ルロイ,LeRoy
アルザマス,Arzamas
カプリオーロ,Capriolo
ダサイン,Dashain
ギャル,Gyaru
カルロス,Carlos
シルバ,Silva
ルワンダ,Rwanda
テメレール,Temeraire
カルペネードロ,Carpenedolo
カリーナ,Karina
オカシオ,Ocasio
カステニャート,Castegnato
グラディス,Gladys
ルガール,Rugal
バーンシュタイン,Bernstein
カステルコヴァーティ,Castelcovati
デバイ,Debye
カステネードロ,Castenedolo
グルーチョ,Groucho
マルクス,Marx
ソーホー,Sojo
カストレッツァート,Castrezzato
アルセーニエフ,Arsenyev
マルガレーテ,Margarete
シェーン,Schön
デービー,Davey
ハグルンド,Haglund
ユリウス,Julius
ネポス,Nepos
チェデーゴロ,Cedegolo
ユライア,Uriah
ホール,Hall
チェッラーティカ,Cellatica
イメージング,Imaging
ヴァネッサ,Vanessa
ポルト,Porto
チェルヴェーノ,Cerveno
ミニストップ,Ministop
ザブジェ,Zabrze
アレック,Alec
ギネス,Guinness
ホブランド,Hovland
アンドレス,Andrés
ガララーガ,Galarraga
バンドン,Bandung
ジルコニウム,Zirconium
ヨニー,Yonny
エルナンデス,Hernández
ガレアッツォ,Galeazzo
ヴィスコンティ,Visconti
マケイン,McCain
ハッサン,Hassan
サニー,Sunny
スティーブン,Steven
ソダーバーグ,Soderbergh
シリモンコン,Sirimongkol
シンワンチャー,Singwangcha
セルゲイ,Sergei
シュテメンコ,Shtemenko
ブカシ,Bekasi
ピアソン,Pearson
ウィリアム,William
アマースト,Amherst
シーン,Sheen
ボゴール,Bogor
デビッド,David
クーパー,Cooper
ジョージ,George
マッケンジー,Mackenzie
ヤーゴ,Yago
ピカチュウ,Pikachu
マキューン,McCune
キーファー,Kiefer
ユーリ,Iuri
アルカンタラ,Alcântara
チマヒ,Cimahi
グスタフ,Gustav
シュトレーゼマン,Stresemann
チルボン,Cirebon
セミラミス,Semiramis
ネッラ,Nella
ファンタジア,Fantasia
ヴィクトル,Victor
アンドラグ,Andrag
クレイオー,Clio
デポック,Depok
スチュワート,Stuart
サーグッド,Thurgood
ジョサイア,Josiah
クィンシー,Quincy
カリオペー,Calliope
ロブ,Rob
ライト,Wright
トミー,Tommy
ウォルター,Walter
ジェイソン,Jason
トンプソン,Thompson
ピーク,Peak
スカブミ,Sukabumi
ディクス,Dix
ランディ,Randy
ルイス,Lewis
アルスク,Arsk
ビガー,Vigor
ターナー,Turner
メルポメネー,Melpomene
チェーヴォ,Cevo
タシクマラヤ,Tasikmalaya
スーパーカリフラジリスティックエクスピアリドーシャス,Supercalifragilisticexpialidocious
ローレン,Lauren
バコール,Bacall
ウーラニアー,Urania
マヌエル,Manuel
レドンド,Redondo
チーゴレ,Cigole
デミタス,Demitasse
アルメリア,Almería
エウテルペー,Euterpe
チンベルゴ,Cimbergo
ルルーシュ,Lellouche
チヴィダーテ,Cividate
カムーノ,Camuno
カーク,Kirk
ダグラス,Douglas
ローザ,Rosa
ユダヤ,Judea
ニヒル,Nihill
ヴェンツピルス,Ventspils
サセンラス,Sassenrath
ハットン,Hutton
テルプシコラー,Terpsichore
コッカーリオ,Coccaglio
フランソン,Fransson
ポワチエ,Poitier
トーマス,Thomas
デイヴィッドソン,Davidson
コッレベアート,Collebeato
ゴーム,Gorm
コッリオ,Collio
ジョシュ,Josh
ギブソン,Gibson
ミリアム,Miriam
ブラスコ,Blasco
スティーヴ,Steve
ブシェミ,Buscemi
キツネアザミ,Hemisteptia
イーライ,Eli
ウォラック,Wallach
ホーム,Home
ネイションズ,Nations
コンチェージオ,Concesio
アンブロークン,Unbroken
ロッサノ,Rossano
ブラッツィ,Brazzi
ミッキー,Mickey
ルーニー,Rooney
ソルティ,Salty
フランカ,Franca
タウンゼント,Townsend
ヴィンソン,Vinson
トトリムク,Dotorimuk
モルデ,Molde
コルテノ,Corteno
ゴルジ,Golgi
カールスルーエ,Karlsruhe
ジェームス,James
ベッドフォード,Bedford
コルツァーノ,Corzano
レクレー,Lecrae
アンドレ,Andre
ガイム,Geim
メアリー,Mary
ピックフォード,Pickford
アシノ,Asino
ケジャン,Gejang
パルプ,Pulp
フィクション,Fiction
フェアバンクス,Fairbanks
ジャイロボール,Gyroball
アーター,Arter
ジェイムズ,James
キャンベル,Campbell
アウトランダー,Outlander
デボラ,Deborah
カー,Kerr
ワシリー,Vasily
スミスロフ,Smyslov
クリス,Chris
レイ,Ray
グザヴィエ,Xavier
メルリ,Mellery
ワーナー,Warner
スキルミオン,Skyrmion
カールトン,Carleton
ジミー,Jimmy
クレスポ,Crespo
テレサ,Teresa
マデイラス,Medeiros
イミダプリル,Imidapril
リリアン,Lillian
ギッシュ,Gish
カルロ,Carlo
アイモニーノ,Aymonino
アニメイト,Animate
ウォルポール,Walpole
セネガル,Senegal
カッターネオ,Cattaneo
チラウン,Chilaun
キティ,Chiti
プラハ,Prague
フィルハーモニア,Philharmonia
ビリルビン,Bilirubin
ウィロー,Willow
ローゼンバーグ,Rosenberg
イノコム,Inokom
レアンドロ,Leandro
デペトリス,Depetris
マッツォーネ,Mazzone
アチンスク,Achinsk
ケビン,Kevin
ミルウッド,Millwood
オサバグサ,Pteridophyllum
メンソレータム,Mentholatum
シャドウラン,Shadowrun
ルスティケッリ,Rustichelli
ハンター,Hunter
ヘイズ,Hayes
テングサ,Gelidiaceae
ウビアリ,Ubbiali
カントロヴィッチ,Kantorowicz
アルベルト,Alberto
メル,Mel
ブルックス,Brooks
ダニエル,Daniel
ギタ,Ghiță
バルドミール,Baldomir
ノノアルコ,Nonoalco
ベルトラン,Beltrán
ベラ,Bella
ノッテ,Notte
カルダス,Cardús
カルソリオ,Carsolio
オクシタニア,Occitania
フィエッロ,Fierro
ブノワ,Benoist
エビルン,Ebilun
セーシェル,Seychelles
シェケレ,Shekere
ラバード,Lavado
ホジュフ,Chorzów
シャルリー,Charlie
エブド,Hebdo
オヤルスン,Oyarzun
ペーニャ,Peña
タカム,Takam
スペンサー,Spencer
カールソン,Carlson
カンパニーズ,Companies
ロイド,Lloyd
カールトン,Carlton
バレット,Barrett
フィスク,Fisk
バヴルィ,Bavly
ギャラガ,Galaga
バグラティオノフスク,Bagrationovsk
ビリー,Billie
ホリデイ,Holiday
ドリス,Doris
デイ,Day
カーミラ,Carmilla
ヴァドソー,Vadsø
カーマイン,Carmine
ギャランテ,Galante
カーナル,Carnal
フォージ,Forge
バーベル,Barbell
ムハンマド,Muhammad
ナギーブ,Naguib
セミコロン,Semicolon
カーネギー,Carnegie
カルネイロ,Carneiro
カーネル,Carnell
レイク,Lake
ハーマル,Hamar
カーニバル,Carnival
コンクェスト,Conquest
ギース,Geese
ドリーム,Dream
ズギェシ,Zgierz
トライアンフ,Triumph
スピリット,Spirit
エラトー,Erato
キャロル,Carol
ドリンクウォーター,Drinkwater
リトルトン,Littleton
ジョゼフ,Joseph
コニー,Kony
グスク,Gusuku
アベンゴウロー,Abengourou
ポリュムニアー,Polyhymnia
カロルコ,Carolco
ピクチャーズ,Pictures
フォルカルキエ,Forcalquier
プサルタリー,Psaltery
ペプロス,Peplos
アーミッシュ,Amish
カロリーネ,Caroline
フレミング,Fleming
ギュルケ,Gülke
リストラ,Office
マン,Space
ゲッツェ,Götze
アクセサリー,Accessory
ニュー,New
ジャーナリズム,Journalism
カロザース,Carothers
ハクロビア,Hacrobia
ガッリエヌス,Gallienus
リスク,Risk
シュトラウス,Strauss
アリスソフト,AliceSoft
ビョルン,Björn
ボルグ,Borg
メタ,Meta
カリエール,Carrière
エイドリアン,Adrien
ブロディ,Brody
ポメラニア,Pomerania
カロッツェリア,Carrozzeria
フィッソーレ,Fissore
ギア,Ghia
シッソトリー,Cistulli
カーン,Kane
バラシハ,Balashikha
バラフナ,Balakhna
カルステン,Carsten
ラキース,Lakies
テルシーテース,Thersites
ユナイテッド,United
テクノロジーズ,Technologies
ダッジ,Dodge
ナイトロ,Nitro
グリニャール,Grignard
ムフタル,Mukhtar
アルティンバエフ,Altynbayev
エードロ,Edolo
カーター,Carter
グラス,Glass
カートレット,Carteret
プンチャック,Puncak
ジャヤ,Jaya
エルブスコ,Erbusco
ブルース,Bruce
ボイトラー,Beutler
アマンゲリディ,Amangeldy
シャブダルバエフ,Shabdarbayev
ジェレッド,Jered
エージネ,Esine
バウルツァン,Bauyrzhan
ムハメドツァノフ,Mukhamedzhanov
エステバン,Esteban
ヘルマン,Germán
アレクシー,Alexi
オガンド,Ogando
ソナチネ,Sonatina
クリスチャン,Cristian
グーズマン,Guzmán
フィエッセ,Fiesse
ペドロ,Pedro
ストロップ,Strop
ソマリア,Somalia
ベリク,Berik
イマシェフ,Imashev
フレーロ,Flero
クレイグ,Craig
ジェントリー,Gentry
アデレード,Adelaide
バイト,Bite
ロトスコープ,Rotoscoping
バラビンスク,Barabinsk
ガリオット,Galiot
アントネラ,Antonella
インテルレンギ,Interlenghi
テイラー,Taylor
